Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Média movel curta,Média movel longa,Sinal,EMA10,EMA30,EMA200,ROC10,ROC30,MOM10,MOM30,RSI10,RSI30,RSI200,%K10,%D10,%K30,%D30,%K200,%D200,simple_rtn,log_rtn
2025-04-17,84623.0,84032.2,84999.0,83822.8,"52,98K","0,70%",84623.0,84623.0,0.0,,,,,,,,,,,,,,,,,,
2025-04-16,84032.2,83648.1,85438.2,83143.5,"63,97K","0,46%",84327.6,84327.6,0.0,,,,,,,,,,,,,,,,,-0.006981553478368818,-0.007006038551972649
2025-04-15,83647.0,84586.8,86438.8,83602.7,"62,45K","-1,11%",84100.73333333334,84100.73333333334,0.0,,,,,,,,,,,,,,,,,-0.00458395710215842,-0.00459449565135314
2025-04-14,84586.4,83752.8,85794.9,83705.2,"78,03K","1,02%",84222.15,84222.15,0.0,,,,,,,,,,,,,,,,,0.01123052829151061,0.011167934116441739
2025-04-13,83734.4,85282.5,85999.5,83049.6,"70,93K","-1,83%",84124.6,84124.6,0.0,,,,,,,,,,,,,,,,,-0.010072541212298947,-0.01012361248998571
2025-04-12,85292.7,83420.5,85893.5,82828.0,"55,60K","2,25%",84319.28333333333,84319.28333333333,0.0,,,,,,,,,,,,,,,,,0.018610033630144907,0.018438985832325106
2025-04-11,83413.1,79606.1,84275.0,79004.2,"94,62K","4,78%",84189.82857142857,84189.82857142857,0.0,,,,,,,,,,,,,,,,,-0.022037055926239724,-0.02228349916027741
2025-04-10,79607.5,82606.8,82737.5,78495.8,"92,83K","-3,63%",83617.0375,83617.0375,0.0,,,,,,,,,,,,,,,,,-0.04562352915789014,-0.04669706185301074
2025-04-09,82607.0,76312.3,83566.7,74657.3,"172,18K","8,25%",83504.81111111112,83504.81111111112,0.0,,,,,,,,,,,,,,,,,0.03767861068366685,0.03698611318158966
2025-04-08,76312.5,79166.7,80839.8,76255.0,"93,88K","-3,60%",82785.58,82785.58,0.0,81603.44739228852,,,-9.82061614454699,,,,,,,14.049144845732691,,,,,,-0.07619814301451455,-0.07925767082800157
2025-04-07,79162.5,78406.6,81095.9,74524.2,"170,57K","0,98%",82239.53,82456.20909090909,0.0,81104.7923566261,,,-5.795040472580745,,-5460.5,,37.67654108120551,,,38.92954862101959,,,,,,0.03734643734643739,0.03666594997162529
2025-04-06,78391.3,83528.0,83731.7,77171.1,"79,17K","-6,18%",81675.44,82117.46666666666,0.0,80562.64155001435,,,-6.283190072566855,,-5640.899999999994,,36.273581512084874,,,32.456817685864436,28.47850371753891,,,,,-0.009741986420337856,-0.009789750031499617
2025-04-05,83552.1,83876.0,84249.3,82384.4,"32,71K","-0,38%",81665.95,82227.82307692307,0.0,81149.38032095715,,,-1.2227734009249578,,-94.89999999999418,,50.09183688861034,,,78.67245300776456,50.019606438216194,,,,,0.06583383615273641,0.06375743756439399
2025-04-04,83866.7,83160.2,84704.1,81691.1,"91,54K","0,85%",81593.98000000001,82344.8857142857,0.0,81675.10927367405,,,0.157999579623193,,-719.6999999999971,,50.81422797065482,,,81.41399353393808,64.1810880758557,,,,,0.003765315294289362,0.0037582442389335895
2025-04-03,83159.4,82522.6,83908.9,81313.8,"83,15K","0,77%",81536.48000000001,82399.18666666668,0.0,81958.97151573107,,,-2.501151915697361,,-575.0,,49.04100802022466,,,75.95190557026373,78.67945070398879,,,,,-0.008433621449276063,-0.008469385657807724
2025-04-02,82525.0,85166.0,88377.3,82358.9,"104,05K","-3,10%",81259.71,82407.05,0.0,82066.21042163543,,,-1.0647008683288426,,-2767.699999999997,,47.39281969923172,,,57.75458200691541,71.70682703703908,,,,,-0.007628722669956622,-0.007657970217312055
2025-04-01,85164.2,82548.6,85506.2,82435.8,"66,72K","3,17%",81434.81999999999,82569.23529411765,0.0,82648.70046343366,,,6.980121219734318,,1751.0999999999913,,54.46649533927702,,,76.80591347784969,70.17080035167628,,,,,0.03198061193577706,0.03147987999895832
2025-03-31,82548.8,82375.4,83895.6,81300.1,"61,76K","0,22%",81728.95,82568.1,0.0,82630.03279338534,,,-0.07045407774159222,,2941.300000000003,,47.44240454268519,,,57.92638470811588,64.162293397627,,,,,-0.030710087102326922,-0.03119152412219382
2025-03-30,82371.6,82646.8,83532.9,81593.2,"35,37K","-0,33%",81705.41,82557.75789473683,0.0,82581.98372881461,,,7.9398525798525865,,-235.39999999999418,,46.98624734213607,,,56.64724863027052,63.793182272078695,,,,,-0.002146609036109526,-0.002148916303745512
2025-03-29,82645.7,84412.1,84603.4,81668.2,"39,34K","-2,09%",82338.73000000001,82562.155,0.0,82593.7817138005,,,4.400063161219008,,6333.199999999997,,47.84807610664153,,,58.62586713443198,57.73316682427279,,,,,0.0033276032030455927,0.003322078983056273
2025-03-28,84410.4,87209.5,87507.5,83596.7,"85,25K","-3,23%",82863.52,82650.16666666667,1.0,82929.03292188833,,,7.678275522921537,,5247.899999999994,,53.28113106544741,,,64.6008459602719,59.95798724165814,,,,,0.021352593056868097,0.02112782046409541
2025-03-27,87228.2,86937.0,87751.4,85844.4,"56,49K","0,36%",83747.20999999999,82858.2590909091,1.0,83720.27168539997,,,4.399769724519182,,8836.899999999994,,60.56911006608136,,,83.76335273837103,68.99668861102496,,,,,0.033382142484812416,0.032837056370191006
2025-03-26,86912.0,87349.8,88276.7,85866.4,"62,04K","-0,56%",84083.2,83034.50869565217,1.0,84306.38727662299,,,3.631119383497864,,3359.899999999994,,59.41350572942552,,,79.29548408975296,75.88656092946529,,,,,-0.003624974492194011,-0.003631560633441918
2025-03-25,87404.0,87495.3,88523.3,86328.5,"75,24K","-0,10%",84436.93,83216.57083333333,1.0,84874.18782952802,,,5.1041734307847415,,3537.300000000003,,60.70950916343671,,,84.50409790674489,82.52097824495628,,,,,0.005660898379970636,0.005644935708444197
2025-03-24,87490.0,86076.1,88740.2,85541.6,"95,71K","1,64%",84869.98999999999,83387.508,1.0,85352.96235983324,,,6.016358679188125,,4330.600000000006,,60.95167776278035,,,83.19646241313963,82.33201480321249,,,,,0.0009839366619377454,0.000983452913552902
2025-03-23,86077.4,83840.2,86082.0,83812.7,"31,13K","2,67%",85225.23,83490.96538461538,1.0,85485.39624498996,,,1.0722815455320394,,3552.399999999994,,54.78858504301675,,,64.21015846561194,77.30357292849881,,,,,-0.016145845239456058,-0.01627760962182947
2025-03-22,83840.5,84076.6,84526.3,83688.2,"20,84K","-0,28%",85092.86,83503.91111111111,1.0,85184.99174810246,,,1.5647713837148414,,-1323.699999999997,,46.5134280246871,,,34.14470235615109,60.51710774496755,,,,,-0.025987076747206572,-0.026330707200936797
2025-03-21,84073.3,84208.7,84831.0,83215.9,"42,80K","-0,16%",85245.31000000001,83524.24642857142,1.0,84982.1297758725,,,2.0658819301798155,,1524.5,,47.431560066907686,,,34.70127326150841,44.35204469442382,,,,,0.0027767009977277546,0.0027728530848689123
2025-03-20,84208.1,86841.3,87419.0,83656.1,"69,86K","-3,03%",85428.95999999999,83547.8275862069,1.0,84840.9779761649,,,1.8904794804811487,,1836.5,,48.00578207928323,,,35.914875565610984,34.92028372775683,,,,,0.0016033627798599515,0.001602078766068086
2025-03-19,86841.0,82719.1,86990.6,82557.5,"84,61K","4,98%",85848.49,83657.6,1.0,85205.50391468438,84325.25385100798,,2.8795029996303843,2.621036833957671,4195.300000000003,,57.96949709897435,,,69.28202888705584,46.63272590472508,86.64040517726508,,,,0.03126658836857721,0.03078774422812189
2025-03-18,82719.1,84019.1,84019.1,81171.3,"58,17K","-1,55%",85679.36,83594.13666666667,1.0,84752.53011265448,84206.6230151607,,-5.16931451067429,-1.562615283189053,-1691.2999999999884,-1903.8999999999942,43.47692061597432,48.15862214373173,,20.449470861023453,41.88212510456343,57.645610579628645,,,,-0.04746490712912099,-0.048628329750905
2025-03-17,84019.1,82580.3,84729.2,82525.0,"58,04K","1,74%",85358.45,83593.7,1.0,84618.9619643449,84192.90075052521,,-3.3285392120765764,0.44484560115725114,-3209.0999999999913,-13.099999999991269,48.02997064066563,49.472996066331426,,37.625018166444335,42.452172638174545,66.79023635340468,70.3587507034328,,,0.01571583830094858,0.015593623325002698
2025-03-16,82578.4,84341.3,84942.5,82014.2,"50,04K","-2,09%",84925.09,83558.08,1.0,84247.45637654167,84075.77172324981,,-5.52102878586793,-2.3739040791427466,-4333.600000000006,-1068.6000000000058,43.695818238238424,48.07559669940934,,18.590548164198132,25.555012397221976,56.65588069780527,60.36390921027953,,,-0.017147291508716633,-0.017296008829688868
2025-03-15,84341.3,83978.7,84679.5,83636.4,"38,40K","0,43%",84618.82,83549.90999999999,1.0,84264.53744908987,84094.88181351237,,-3.5989255914961675,0.7247917223984512,-3062.699999999997,-245.09999999999127,49.84878953516108,49.86803588147243,,41.88191150629553,32.69915927897933,69.05669667979744,64.16760457700246,,,0.021348197591622098,0.021123516882027855
2025-03-14,83977.1,81103.5,85286.6,80833.2,"81,23K","3,55%",84267.53,83558.0,1.0,84212.22950269203,84086.46776530962,,-2.44001329036424,-1.5424532228432108,-3512.899999999994,242.70000000001164,48.6289330678223,49.502829416107915,,47.73755656108609,36.07000541052658,66.49479459763653,64.06912399174642,,,-0.00431816915319061,-0.004327519372536024
2025-03-13,81100.2,83664.7,84292.0,79954.9,"79,25K","-3,06%",83769.81,83418.25,1.0,83645.99329776014,83874.60242722735,,-3.268468103124388,-2.772825851095342,-4977.199999999997,-4192.5,40.03101938207791,46.707634190197865,,15.344113824841601,34.987860630741075,46.25773776027012,60.603076345901364,,,-0.03425814894774892,-0.034858715418795094
