"Date","Price","Open","High","Low","Vol.","Change %"
"04/16/2025","1.1399","1.1294","1.1413","1.1293","","0.93%"
"04/15/2025","1.1294","1.1349","1.1379","1.1264","","-0.48%"
"04/14/2025","1.1349","1.1313","1.1425","1.1282","","-0.10%"
"04/11/2025","1.1360","1.1202","1.1475","1.1189","","1.46%"
"04/10/2025","1.1197","1.0951","1.1242","1.0943","","2.25%"
"04/09/2025","1.0951","1.0959","1.1096","1.0913","","-0.05%"
"04/08/2025","1.0956","1.0905","1.0993","1.0888","","0.48%"
"04/07/2025","1.0904","1.0946","1.1051","1.0883","","-0.47%"
"04/04/2025","1.0955","1.1052","1.1109","1.0924","","-0.86%"
"04/03/2025","1.1050","1.0856","1.1146","1.0805","","1.80%"
"04/02/2025","1.0855","1.0793","1.0925","1.0780","","0.57%"
"04/01/2025","1.0793","1.0818","1.0831","1.0778","","-0.22%"
"03/31/2025","1.0817","1.0822","1.0850","1.0784","","-0.09%"
"03/28/2025","1.0827","1.0802","1.0845","1.0764","","0.24%"
"03/27/2025","1.0801","1.0753","1.0822","1.0732","","0.46%"
"03/26/2025","1.0752","1.0791","1.0803","1.0744","","-0.36%"
"03/25/2025","1.0791","1.0802","1.0831","1.0776","","-0.08%"
"03/24/2025","1.0800","1.0808","1.0859","1.0781","","-0.13%"
"03/21/2025","1.0814","1.0852","1.0862","1.0797","","-0.34%"
"03/20/2025","1.0851","1.0903","1.0918","1.0815","","-0.46%"
"03/19/2025","1.0901","1.0945","1.0947","1.0861","","-0.38%"
"03/18/2025","1.0943","1.0923","1.0956","1.0892","","0.20%"
"03/17/2025","1.0921","1.0877","1.0930","1.0868","","0.39%"
"03/14/2025","1.0879","1.0852","1.0913","1.0830","","0.25%"
"03/13/2025","1.0852","1.0888","1.0898","1.0822","","-0.31%"
"03/12/2025","1.0886","1.0920","1.0932","1.0875","","-0.29%"
"03/11/2025","1.0918","1.0834","1.0947","1.0829","","0.79%"
"03/10/2025","1.0832","1.0835","1.0875","1.0805","","0.00%"
"03/07/2025","1.0832","1.0784","1.0890","1.0781","","0.45%"
"03/06/2025","1.0783","1.0791","1.0854","1.0765","","-0.06%"
"03/05/2025","1.0790","1.0627","1.0797","1.0602","","1.56%"
"03/04/2025","1.0624","1.0488","1.0628","1.0471","","1.32%"
"03/03/2025","1.0486","1.0382","1.0504","1.0381","","1.07%"
"02/28/2025","1.0375","1.0399","1.0421","1.0360","","-0.21%"
"02/27/2025","1.0397","1.0484","1.0494","1.0397","","-0.82%"
"02/26/2025","1.0483","1.0514","1.0529","1.0475","","-0.29%"
"02/25/2025","1.0513","1.0468","1.0520","1.0456","","0.45%"
"02/24/2025","1.0466","1.0493","1.0529","1.0453","","0.08%"
"02/21/2025","1.0458","1.0501","1.0507","1.0448","","-0.40%"
"02/20/2025","1.0500","1.0422","1.0504","1.0418","","0.76%"
"02/19/2025","1.0421","1.0443","1.0462","1.0401","","-0.23%"
"02/18/2025","1.0445","1.0484","1.0488","1.0435","","-0.35%"
"02/17/2025","1.0482","1.0489","1.0507","1.0467","","-0.09%"
"02/14/2025","1.0491","1.0465","1.0515","1.0446","","0.26%"
"02/13/2025","1.0464","1.0387","1.0467","1.0373","","0.79%"
"02/12/2025","1.0382","1.0361","1.0430","1.0317","","0.21%"
"02/11/2025","1.0360","1.0307","1.0381","1.0292","","0.52%"
"02/10/2025","1.0306","1.0324","1.0337","1.0280","","-0.20%"
"02/07/2025","1.0327","1.0383","1.0412","1.0305","","-0.52%"
"02/06/2025","1.0381","1.0402","1.0406","1.0352","","-0.20%"
"02/05/2025","1.0402","1.0377","1.0444","1.0370","","0.24%"
"02/04/2025","1.0377","1.0345","1.0388","1.0272","","0.32%"
"02/03/2025","1.0344","1.0288","1.0350","1.0146","","-0.17%"
"01/31/2025","1.0362","1.0391","1.0435","1.0350","","-0.27%"
"01/30/2025","1.0390","1.0421","1.0468","1.0386","","-0.29%"
"01/29/2025","1.0420","1.0431","1.0444","1.0382","","-0.08%"
"01/28/2025","1.0428","1.0492","1.0495","1.0414","","-0.60%"
"01/27/2025","1.0491","1.0486","1.0534","1.0454","","-0.02%"
"01/24/2025","1.0493","1.0417","1.0523","1.0412","","0.75%"
"01/23/2025","1.0415","1.0408","1.0439","1.0372","","0.08%"
"01/22/2025","1.0407","1.0429","1.0458","1.0393","","-0.21%"
"01/21/2025","1.0429","1.0417","1.0436","1.0342","","0.14%"
"01/20/2025","1.0414","1.0276","1.0435","1.0266","","1.39%"
"01/17/2025","1.0271","1.0299","1.0331","1.0265","","-0.26%"
"01/16/2025","1.0298","1.0288","1.0315","1.0261","","0.09%"
"01/15/2025","1.0289","1.0308","1.0355","1.0259","","-0.17%"
"01/14/2025","1.0307","1.0245","1.0309","1.0238","","0.61%"
"01/13/2025","1.0244","1.0241","1.0250","1.0178","","0.00%"
"01/10/2025","1.0244","1.0301","1.0313","1.0216","","-0.52%"
"01/09/2025","1.0298","1.0319","1.0322","1.0284","","-0.19%"
"01/08/2025","1.0318","1.0340","1.0358","1.0274","","-0.20%"
"01/07/2025","1.0339","1.0391","1.0436","1.0339","","-0.49%"
"01/06/2025","1.0390","1.0303","1.0438","1.0295","","0.80%"
"01/03/2025","1.0308","1.0265","1.0310","1.0258","","0.42%"
"01/02/2025","1.0265","1.0353","1.0375","1.0224","","-0.87%"
"01/01/2025","1.0355","1.0353","1.0360","1.0350","","0.02%"
"12/31/2024","1.0353","1.0407","1.0425","1.0344","","-0.52%"
"12/30/2024","1.0407","1.0433","1.0459","1.0372","","-0.19%"
"12/27/2024","1.0427","1.0423","1.0444","1.0405","","0.05%"
"12/26/2024","1.0422","1.0402","1.0430","1.0390","","0.17%"
"12/25/2024","1.0404","1.0398","1.0415","1.0397","","0.07%"
"12/24/2024","1.0397","1.0405","1.0411","1.0383","","-0.08%"
"12/23/2024","1.0405","1.0425","1.0446","1.0383","","-0.23%"
"12/20/2024","1.0429","1.0363","1.0447","1.0343","","0.65%"
"12/19/2024","1.0362","1.0353","1.0423","1.0347","","0.10%"
"12/18/2024","1.0352","1.0492","1.0513","1.0344","","-1.31%"
"12/17/2024","1.0489","1.0511","1.0535","1.0479","","-0.20%"
"12/16/2024","1.0510","1.0497","1.0525","1.0474","","0.08%"
"12/13/2024","1.0502","1.0468","1.0525","1.0453","","0.33%"
"12/12/2024","1.0467","1.0496","1.0531","1.0464","","-0.26%"
"12/11/2024","1.0494","1.0527","1.0540","1.0480","","-0.30%"
"12/10/2024","1.0526","1.0554","1.0568","1.0498","","-0.25%"
"12/09/2024","1.0552","1.0563","1.0595","1.0532","","-0.15%"
"12/06/2024","1.0568","1.0587","1.0631","1.0543","","-0.17%"
"12/05/2024","1.0586","1.0511","1.0590","1.0508","","0.72%"
"12/04/2024","1.0510","1.0510","1.0546","1.0472","","0.01%"
"12/03/2024","1.0509","1.0498","1.0536","1.0481","","0.11%"
"12/02/2024","1.0497","1.0577","1.0589","1.0460","","-0.74%"
"11/29/2024","1.0575","1.0555","1.0598","1.0541","","0.21%"
"11/28/2024","1.0553","1.0566","1.0570","1.0527","","-0.10%"
"11/27/2024","1.0564","1.0489","1.0588","1.0473","","0.74%"
"11/26/2024","1.0486","1.0494","1.0545","1.0425","","-0.08%"
"11/25/2024","1.0494","1.0448","1.0531","1.0428","","0.74%"
"11/22/2024","1.0417","1.0474","1.0498","1.0334","","-0.53%"
"11/21/2024","1.0473","1.0541","1.0555","1.0462","","-0.66%"
"11/20/2024","1.0543","1.0596","1.0611","1.0508","","-0.49%"
"11/19/2024","1.0595","1.0599","1.0602","1.0524","","-0.04%"
"11/18/2024","1.0599","1.0535","1.0608","1.0530","","0.55%"
"11/15/2024","1.0541","1.0532","1.0593","1.0517","","0.10%"
"11/14/2024","1.0530","1.0564","1.0582","1.0496","","-0.31%"
"11/13/2024","1.0563","1.0623","1.0654","1.0556","","-0.56%"
"11/12/2024","1.0623","1.0653","1.0664","1.0595","","-0.29%"
"11/11/2024","1.0654","1.0713","1.0728","1.0628","","-0.60%"
"11/08/2024","1.0718","1.0805","1.0806","1.0687","","-0.80%"
"11/07/2024","1.0804","1.0729","1.0825","1.0712","","0.71%"
"11/06/2024","1.0728","1.0931","1.0938","1.0682","","-1.85%"
"11/05/2024","1.0930","1.0881","1.0936","1.0872","","0.49%"
"11/04/2024","1.0877","1.0860","1.0914","1.0859","","0.40%"
"11/01/2024","1.0834","1.0883","1.0905","1.0832","","-0.45%"
"10/31/2024","1.0883","1.0855","1.0888","1.0843","","0.26%"
"10/30/2024","1.0855","1.0819","1.0871","1.0808","","0.34%"
"10/29/2024","1.0818","1.0812","1.0826","1.0769","","0.06%"
"10/28/2024","1.0812","1.0797","1.0828","1.0782","","0.18%"
"10/25/2024","1.0793","1.0827","1.0840","1.0793","","-0.31%"
"10/24/2024","1.0827","1.0783","1.0829","1.0769","","0.43%"
"10/23/2024","1.0781","1.0799","1.0807","1.0761","","-0.15%"
"10/22/2024","1.0797","1.0816","1.0839","1.0792","","-0.17%"
"10/21/2024","1.0815","1.0861","1.0872","1.0811","","-0.47%"
"10/18/2024","1.0866","1.0832","1.0869","1.0825","","0.32%"
"10/17/2024","1.0831","1.0862","1.0874","1.0811","","-0.28%"
"10/16/2024","1.0861","1.0891","1.0901","1.0854","","-0.27%"
"10/15/2024","1.0890","1.0909","1.0917","1.0882","","-0.17%"
"10/14/2024","1.0909","1.0933","1.0937","1.0889","","-0.26%"
"10/11/2024","1.0937","1.0933","1.0954","1.0926","","0.02%"
"10/10/2024","1.0935","1.0939","1.0955","1.0899","","-0.04%"
"10/09/2024","1.0939","1.0980","1.0982","1.0936","","-0.37%"
"10/08/2024","1.0980","1.0976","1.0998","1.0961","","0.05%"
"10/07/2024","1.0974","1.0976","1.0986","1.0955","","-0.02%"
"10/04/2024","1.0976","1.1032","1.1041","1.0951","","-0.50%"
"10/03/2024","1.1031","1.1045","1.1050","1.1007","","-0.13%"
"10/02/2024","1.1045","1.1068","1.1084","1.1033","","-0.20%"
"10/01/2024","1.1067","1.1135","1.1144","1.1045","","-0.60%"
"09/30/2024","1.1134","1.1159","1.1209","1.1114","","-0.26%"
"09/27/2024","1.1163","1.1177","1.1203","1.1125","","-0.12%"
"09/26/2024","1.1176","1.1133","1.1190","1.1126","","0.40%"
"09/25/2024","1.1132","1.1179","1.1214","1.1121","","-0.43%"
