"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.04.2025","18.512,50","18.404,50","18.646,50","18.377,75","134,20K","0,69%"
"16.04.2025","18.385,25","18.790,00","18.861,25","18.116,25","683,18K","-3,03%"
"15.04.2025","18.960,25","18.902,50","19.144,75","18.809,00","525,79K","0,13%"
"14.04.2025","18.934,75","19.225,00","19.256,00","18.737,50","570,51K","0,68%"
"11.04.2025","18.807,50","18.464,75","18.873,50","18.067,00","667,63K","1,75%"
"10.04.2025","18.484,50","19.266,75","19.383,50","17.919,00","975,10K","-4,17%"
"09.04.2025","19.288,75","17.220,25","19.386,75","16.735,00","1,09M","11,86%"
"08.04.2025","17.243,75","17.665,00","18.357,25","16.973,50","956,64K","-1,82%"
"07.04.2025","17.563,25","17.100,00","18.361,50","16.460,00","1,14M","0,14%"
"04.04.2025","17.539,00","18.660,00","18.713,00","17.387,50","1,20M","-6,09%"
"03.04.2025","18.675,50","19.020,00","19.177,00","18.614,00","893,79K","-5,48%"
"02.04.2025","19.758,00","19.600,50","20.044,25","19.076,75","835,32K","0,78%"
"01.04.2025","19.604,50","19.411,25","19.644,00","19.261,25","790,96K","0,85%"
"31.03.2025","19.439,50","19.319,75","19.489,75","18.976,75","842,55K","-0,09%"
"28.03.2025","19.457,00","19.995,25","20.011,75","19.357,50","696,40K","-2,67%"
"27.03.2025","19.990,25","20.046,00","20.199,50","19.937,25","634,74K","-0,63%"
"26.03.2025","20.116,50","20.511,50","20.536,75","20.045,00","620,69K","-1,82%"
"25.03.2025","20.488,50","20.353,00","20.524,75","20.293,00","470,89K","0,56%"
"24.03.2025","20.374,25","20.050,50","20.409,50","20.050,50","555,04K","2,07%"
"21.03.2025","19.961,00","19.898,50","19.977,50","19.602,25","605,24K","0,41%"
"20.03.2025","19.879,25","19.949,75","20.105,00","19.735,25","607,25K","-0,36%"
"19.03.2025","19.951,00","19.704,75","20.143,00","19.660,00","574,70K","1,27%"
"18.03.2025","19.701,75","20.041,00","20.066,50","19.604,25","569,61K","-1,68%"
"17.03.2025","20.038,25","19.885,50","20.167,75","19.757,00","508,95K","0,60%"
"14.03.2025","19.919,50","19.505,75","19.949,50","19.503,75","106,99K","2,39%"
"13.03.2025","19.453,75","19.787,25","19.900,75","19.372,50","37,53K","-1,88%"
"12.03.2025","19.826,25","19.605,25","19.992,25","19.593,50","21,32K","1,13%"
"11.03.2025","19.605,25","19.651,25","19.893,00","19.345,75","24,45K","0,78%"
"10.03.2025","19.452,75","20.147,00","20.156,50","19.272,25","798,37K","-3,84%"
"07.03.2025","20.229,75","20.214,50","20.286,25","19.765,50","763,26K","0,70%"
"06.03.2025","20.089,25","20.605,25","20.647,50","20.003,00","763,15K","-2,79%"
"05.03.2025","20.665,00","20.555,00","20.725,00","20.215,00","783,64K","1,30%"
"04.03.2025","20.399,00","20.527,00","20.732,50","20.075,25","958,07K","-0,34%"
"03.03.2025","20.468,25","21.005,25","21.121,00","20.316,75","833,04K","-2,16%"
"28.02.2025","20.919,50","20.649,50","20.944,25","20.460,50","845,89K","1,52%"
"27.02.2025","20.605,75","21.249,00","21.386,50","20.583,25","854,18K","-2,74%"
"26.02.2025","21.187,00","21.230,50","21.409,25","21.055,00","646,24K","0,18%"
"25.02.2025","21.149,00","21.442,50","21.453,75","20.990,00","805,68K","-1,27%"
"24.02.2025","21.420,25","21.700,75","21.813,00","21.407,50","670,63K","-1,19%"
"21.02.2025","21.679,25","22.136,00","22.245,50","21.652,75","708,35K","-2,09%"
"20.02.2025","22.141,75","22.213,00","22.235,50","21.951,00","563,59K","-0,49%"
"19.02.2025","22.250,50","22.224,50","22.299,75","22.118,00","496,44K","0,08%"
"18.02.2025","22.232,25","22.235,75","22.319,75","22.102,75","567,20K","0,16%"
"14.02.2025","22.196,25","22.071,00","22.225,00","22.042,50","433,21K","0,38%"
"13.02.2025","22.113,25","21.861,25","22.124,00","21.753,00","536,74K","1,41%"
"12.02.2025","21.804,75","21.794,25","21.862,50","21.510,75","545,41K","0,08%"
"11.02.2025","21.786,75","21.832,00","21.871,50","21.669,50","423,20K","-0,27%"
"10.02.2025","21.846,50","21.463,25","21.894,00","21.418,00","391,63K","1,18%"
"07.02.2025","21.590,75","21.817,75","21.968,00","21.552,75","598,87K","-1,28%"
"06.02.2025","21.871,75","21.764,50","21.882,25","21.705,75","438,73K","0,50%"
"05.02.2025","21.763,00","21.562,00","21.795,00","21.429,75","497,66K","0,43%"
"04.02.2025","21.670,25","21.592,00","21.694,00","21.242,50","497,14K","1,24%"
"03.02.2025","21.405,00","21.200,00","21.579,75","20.943,00","728,14K","-0,85%"
"31.01.2025","21.589,25","21.680,00","21.966,00","21.533,75","655,81K","-0,16%"
"30.01.2025","21.624,75","21.547,75","21.748,75","21.419,50","618,07K","0,47%"
"29.01.2025","21.523,25","21.559,00","21.697,00","21.367,00","629,63K","-0,27%"
"28.01.2025","21.581,75","21.343,25","21.626,00","21.159,50","663,34K","1,52%"
"27.01.2025","21.258,50","21.771,00","21.771,00","20.763,75","1,06M","-2,98%"
"24.01.2025","21.911,25","22.018,50","22.078,25","21.844,00","522,90K","-0,58%"
"23.01.2025","22.038,25","21.981,75","22.050,50","21.855,50","476,29K","0,17%"
"22.01.2025","22.000,50","21.809,25","22.093,50","21.768,25","508,61K","1,34%"
"21.01.2025","21.709,50","21.600,00","21.783,50","21.377,75","662,32K","0,53%"
"17.01.2025","21.594,75","21.227,50","21.682,50","21.209,25","594,11K","1,62%"
"16.01.2025","21.249,75","21.389,00","21.567,25","21.172,25","598,63K","-0,70%"
"15.01.2025","21.400,25","20.977,00","21.452,75","20.909,00","551,81K","2,30%"
"14.01.2025","20.919,50","21.020,00","21.143,75","20.773,50","676,19K","-0,13%"
"13.01.2025","20.947,25","21.027,50","21.037,00","20.694,00","617,06K","-0,33%"
"10.01.2025","21.016,00","21.302,75","21.372,50","20.874,75","703,96K","-1,34%"
"09.01.2025","21.301,50","21.334,75","21.347,25","21.218,00","77,17K","-0,28%"
"08.01.2025","21.360,75","21.380,75","21.448,25","21.166,25","637,11K","0,00%"
"07.01.2025","21.359,75","21.781,25","21.806,00","21.279,50","645,14K","-1,77%"
"06.01.2025","21.744,50","21.532,25","21.896,75","21.478,25","574,30K","1,06%"
"03.01.2025","21.516,50","21.186,75","21.559,25","21.144,00","488,24K","1,65%"
"02.01.2025","21.167,50","21.269,00","21.490,50","20.983,75","664,74K","-0,28%"
"31.12.2024","21.226,50","21.390,25","21.524,75","21.182,00","477,28K","-0,89%"
"30.12.2024","21.416,25","21.711,00","21.742,75","21.253,00","530,98K","-1,30%"
"27.12.2024","21.698,50","21.990,75","22.008,00","21.498,75","572,60K","-1,41%"
"26.12.2024","22.008,00","22.049,50","22.111,25","21.870,25","407,12K","-0,09%"
"24.12.2024","22.028,50","21.743,25","22.049,75","21.709,00","261,20K","1,27%"
"23.12.2024","21.753,25","21.566,00","21.776,75","21.476,75","508,60K","0,87%"
"20.12.2024","21.566,50","21.429,25","21.812,25","21.006,50","864,71K","0,88%"
"19.12.2024","21.379,00","21.499,75","21.697,75","21.345,75","743,11K","-0,57%"
"18.12.2024","21.501,75","22.309,25","22.387,75","21.311,00","733,61K","-3,64%"
"17.12.2024","22.314,50","22.412,25","22.425,75","22.244,25","568,54K","-0,42%"
"16.12.2024","22.408,00","22.062,00","22.450,00","22.050,50","435,38K","1,48%"
"13.12.2024","22.082,00","21.967,25","22.184,00","21.942,50","118,26K","0,75%"
"12.12.2024","21.918,50","22.027,00","22.042,50","21.871,75","20,18K","-0,65%"
"11.12.2024","22.062,50","21.699,00","22.087,00","21.674,00","10,50K","1,81%"
"10.12.2024","21.670,00","21.737,00","21.873,25","21.619,25","4,80K","-0,37%"
"09.12.2024","21.750,75","21.911,00","21.975,00","21.707,50","7,18K","0,43%"
"06.12.2024","21.656,75","21.450,00","21.669,25","21.424,75","459,88K","0,85%"
"05.12.2024","21.473,25","21.513,25","21.567,25","21.437,50","421,04K","-0,29%"
"04.12.2024","21.536,50","21.323,00","21.548,50","21.305,75","461,92K","1,20%"
"03.12.2024","21.281,50","21.220,00","21.329,00","21.134,25","444,14K","0,30%"
"02.12.2024","21.218,00","20.995,25","21.259,75","20.940,00","475,46K","1,07%"
"29.11.2024","20.993,50","20.813,00","21.017,50","20.805,50","339,96K","0,87%"
"27.11.2024","20.813,00","20.990,75","21.019,00","20.675,00","520,03K","-0,86%"
"26.11.2024","20.993,50","20.906,25","21.024,75","20.755,00","505,25K","0,54%"
"25.11.2024","20.880,25","20.935,00","21.081,00","20.780,25","544,57K","0,15%"
"22.11.2024","20.849,75","20.794,00","20.880,00","20.693,25","541,55K","0,10%"
"21.11.2024","20.829,50","20.738,00","20.905,75","20.514,25","698,34K","0,39%"
"20.11.2024","20.749,00","20.762,25","20.843,25","20.477,00","619,49K","-0,09%"
"19.11.2024","20.767,75","20.633,25","20.792,50","20.382,50","553,62K","0,65%"
"18.11.2024","20.633,50","20.504,00","20.724,25","20.476,00","525,47K","0,68%"
"15.11.2024","20.493,75","20.977,50","20.981,50","20.405,25","691,85K","-2,47%"
"14.11.2024","21.011,75","21.167,00","21.190,25","20.950,50","561,95K","-0,70%"
"13.11.2024","21.159,50","21.178,00","21.268,50","21.056,50","533,74K","-0,14%"
"12.11.2024","21.189,50","21.221,00","21.251,75","21.054,75","511,37K","-0,13%"
"11.11.2024","21.217,75","21.249,75","21.340,75","21.098,25","456,01K","-0,06%"
